platform,video,is_reply,text,likes,posted
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,Fuentoro AI Trading REVIEWS Australia!😰 Is it a Scam? What is Fuentoro A... [URL] via [REDACTED],0,2025-10-22 05:09:26+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",True,"[REDACTED] [REDACTED] Please see my profile. I got shadowbanned today for posting this to too men who know the cobra. And I can prove it because the cloud passes everything onto it E heavens right now when Australia catches up to us and all of the AI companies that are based in Japan in Australia, get",0,2025-10-22 04:58:33+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",True,"[REDACTED] [REDACTED] Australia might introduce a ""robot productivity tax"" on AI/automation outputs or corporate gains from labor replacement, funding universal basic services or income to replace waning income taxes. Land and resource value taxes could expand, as they're less tied to human labor and",1,2025-10-22 04:43:45+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,"Clarity cuts through noise. Relevance earns attention.
.
.
.
#advertising #media #marketing #ai #content #strategy #storytelling #mediamath #programmatic #apps #aso #socialmedia #agency #dubai #india #canada #australia #bahrain_adv #qatar #kuwait #arabworld [URL]",0,2025-10-22 04:25:00+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,"Zoho Tables is now available in the Australian Data Center! 🇦🇺
 
Organize smarter with database power, spreadsheet ease, and AI brains.
 
Explore now👉 
[URL]

#ZohoTables #Australia #DataManagement #productivity [URL]",0,2025-10-22 04:19:01+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",True,"[REDACTED] That is as AI fake as it comes, let me share a real photo. And 30% again behind. This is a movement that is awakening the true Aussie spirit. Come join us on Australia Day 2026. [URL]",1,2025-10-22 04:13:42+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,"“Should Australia develop its own AI, or are we better off surrendering our AI services to be developed by the American billionaire Tech Bros?”

[URL]",1,2025-10-22 04:13:18+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,"""Why I'm never writing a daily standup again...""

As Australia's leading AI company, we’re hands-on building with [REDACTED]  new #AgentKit and #ChatKit to experiment and push the limits of the latest technology to hit the market.

In just two days, our developer Geoff McCosker used [URL]",0,2025-10-22 04:09:18+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",True,"[REDACTED] How about productivity? Unions turn up to the productivity summit demanding:
*4d week
*2d WFH
*Right to switch off
*Right to refuse to use AI

So much for ""Made In Australia"" when we work half as hard and cost twice as much",0,2025-10-22 03:59:30+00:00
twitter,"""AI"" ""Australia"" lang:en -is:retweet",False,"""Why I'm never writing a daily standup again...""

As Australia's leading AI company, we’re hands-on building with [REDACTED]  new #AgentKit and #ChatKit to experiment and push the limits of the latest technology to hit the market.

In just two days, our developer Geoff McCosker used [URL]",0,2025-10-22 03:59:09+00:00
